ID,var_rpta_alt,Prob_uno
257335#444821#635511,0,0.4260988
59584#350400#730364,1,0.6019676
397604#973821#106521,1,0.73321366
368086#382995#696856,1,0.68828255
255009#434238#645924,0,0.32643133
417751#109691#978105,1,0.8213153
15170#695103#385239,0,0.45320237
64083#1033680#46662,0,0.3091859
522913#59984#1044995,1,0.562996
46441#633313#447029,0,0.33949006
552#559118#521224,0,0.16446647
302051#315690#767452,1,0.5863176
118179#314102#769034,1,0.5029821
523516#404708#675216,1,0.67492396
113208#181011#907122,1,0.55044776
276581#207846#874865,1,0.75965333
580908#867522#212820,0,0.36410254
383095#52705#1052247,1,0.65804774
76615#1047728#32614,0,0.23417251
138091#115168#972652,1,0.6917623
357721#73523#1031527,0,0.48950958
442359#1056644#23698,0,0.35400236
500313#1050223#30119,1,0.7172392
402096#43169#1061649,0,0.49535647
507348#350702#730065,1,0.57475364
204337#300670#782445,1,0.6700142
436763#346219#734486,1,0.8809764
465398#824439#255903,0,0.45715934
242084#623070#457272,0,0.24746966
267078#663701#416641,1,0.53730166
200340#725868#354474,0,0.38995612
600026#796685#283657,0,0.4513182
439822#145524#942570,0,0.35781202
608644#280869#802173,1,0.764593
458223#711065#369277,0,0.48925444
492870#106066#981715,1,0.7087921
385325#66845#1038184,0,0.46785197
283801#483018#597324,1,0.64104944
39603#35099#1069954,1,0.7664773
35925#278860#804180,1,0.7013172
536107#889478#190864,0,0.21607858
356231#190000#898235,0,0.40053657
314131#751663#328679,1,0.5061947
32776#599515#480827,0,0.40015715
296565#487009#593333,1,0.64594525
420032#784025#296317,0,0.38552386
348284#542773#537569,1,0.57363665
514260#342341#738326,0,0.34921294
373936#834274#246068,1,0.5546222
158015#815577#264765,0,0.39635554
107393#729831#350511,1,0.51738185
395121#718382#361960,0,0.49040723
559180#418892#661101,1,0.7058386
311073#1041116#39226,0,0.24217981
106125#404910#675013,0,0.44334322
64548#241610#841409,1,0.66324025
40213#836170#244172,0,0.29889297
332192#909736#170606,1,0.57562524
622359#728230#352112,1,0.5367252
77961#237821#845157,1,0.67141175
590929#109550#978245,1,0.6400477
349843#282225#800828,1,0.8571993
513716#50850#1054052,1,0.55679756
46597#462853#617489,0,0.419304
302245#848604#231738,1,0.6336861
507759#368273#711587,1,0.711674
494605#98713#989059,0,0.48098758
541991#910909#169433,1,0.5766113
